#{"t_start": 1718037505.7752743, "env_id": null}
r,l,t
398.66406,250,131.533536
401.3288,250,131.68718
350.72842,250,131.687249
413.74487,250,134.116212
358.5122,250,134.195839
147.41495,165,134.319403
386.3146,250,135.237076
387.28,250,135.299531
382.50385,250,135.692878
350.45493,250,135.715041
454.7953,250,135.931761
352.15454,250,136.429344
374.94135,250,136.535231
385.0977,250,136.69395
374.90836,250,136.694019
379.6452,250,139.119289
402.60248,250,139.200714
386.4643,250,139.326112
352.27875,250,140.244226
377.3271,250,140.308446
382.07776,250,140.709489
373.19437,250,140.73339
357.49496,250,140.952375
382.33414,250,141.457756
522.50476,250,141.559366
380.66302,250,141.721691
349.31268,250,141.721756
428.0445,250,144.14115
365.84885,250,144.22279
454.25128,250,144.344849
386.05356,250,145.261606
385.35306,250,145.325785
379.13608,250,145.729944
458.85944,250,145.752039
470.90454,250,145.974586
414.05542,250,146.486753
424.06305,250,146.590998
403.36215,250,146.753638
394.52042,250,146.7537
382.2965,250,149.156629
413.09988,250,149.240531
391.4209,250,149.363208
411.40497,250,150.281699
372.80862,250,150.343593
387.2539,250,150.751578
394.76785,250,150.773061
380.25308,250,150.994393
377.4348,250,151.495444
519.7569,250,151.598204
382.8732,250,151.764612
389.7026,250,151.764674
368.1229,250,154.168726
400.9063,250,154.25242
391.3535,250,154.371511
373.7409,250,155.288561
387.95532,250,155.350823
389.4107,250,155.758849
382.86588,250,155.781096
377.62366,250,156.00012
465.28363,250,156.493507
477.11017,250,156.595098
404.86053,250,156.756132
410.65723,250,156.756195
442.71695,250,159.154674
433.0727,250,159.241963
453.05865,250,159.363623
416.56595,250,160.293102
414.73026,250,160.353938
391.29904,250,160.746732
385.8798,250,160.769695
431.77286,250,160.992611
406.1363,250,161.495121
410.1913,250,161.597245
482.26382,250,161.75876
437.4671,250,161.758847
390.65503,250,164.183949
460.02808,250,164.266315
430.88617,250,164.387432
401.8851,250,165.312124
392.7412,250,165.370338
472.11948,250,165.776883
454.1847,250,165.800817
419.9994,250,166.025075
525.1274,250,166.532239
386.29944,250,166.634553
398.0649,250,166.799479
493.19952,250,166.799543
509.04868,250,169.232597
402.03662,250,169.314319
413.02548,250,169.436512
432.01672,250,170.338045
420.15164,250,170.399333
387.99847,250,170.801135
